DBK.DE,16.32,"22/12/2017"
EL49.DE,111.27,"22/12/2017"
EL4G.DE,21.33,"22/12/2017"
EL4K.DE,113.9,"22/12/2017"
EL4L.DE,98.8,"22/12/2017"
EL4M.DE,107.28,"22/12/2017"
EL4N.DE,115.06,"22/12/2017"
EL4X.DE,81.75,"22/12/2017"
EMBE.L,102.14,"22/12/2017"
EUNY.DE,18.9,"22/12/2017"
EXH9.DE,28.71,"22/12/2017"
EXHE.DE,104.82,"22/12/2017"
EXI5.DE,18.06,"22/12/2017"
EXSE.DE,28.56,"22/12/2017"
EXSG.DE,20.48,"22/12/2017"
EXSH.DE,16.7,"22/12/2017"
EXV6.DE,46.62,"22/12/2017"
EXXW.DE,29.88,"22/12/2017"
EXXX.DE,35.5,"22/12/2017"
IBCS.DE,135.93,"22/12/2017"
IPRP.AS,41.33,"22/12/2017"
ISPA.DE,27.45,"22/12/2017"
SPYV.DE,14.06,"22/12/2017"
SYBJ.DE,58.52,"22/12/2017"
TCBT.AS,18.12,"22/12/2017"
VAPX.AS,22.86,"22/12/2017"
VECP.AS,52.38,"22/12/2017"
VETY.AS,25.09,"22/12/2017"
VEUR.AS,30.86,"22/12/2017"
VFEM.AS,51.49,"22/12/2017"
VHYL.AS,48.87,"22/12/2017"
VJPN.AS,26.94,"22/12/2017"
VNRT.AS,56.07,"22/12/2017"
